Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Carter, Chris",474892,2015,113.8,91.2,46.9,15.5,460.0,0.199,0.307,0.427,0.734,105.0
"Castellanos, Nick",592206,2015,111.6,88.3,34.5,7.7,595.0,0.255,0.303,0.419,0.721,94.0
"Castillo, Rusney",628329,2015,108.2,88.2,32.1,2.7,289.0,0.253,0.288,0.359,0.647,73.0
"Castillo, Welington",456078,2015,110.5,89.3,36.5,10.6,378.0,0.237,0.296,0.453,0.75,98.0
"Castro, Jason",488771,2015,109.5,88.5,30.7,5.8,375.0,0.211,0.283,0.365,0.648,80.0
"Castro, Starlin",516770,2015,113.2,86.3,28.0,4.3,578.0,0.265,0.296,0.375,0.671,79.0
"Cervelli, Francisco",465041,2015,111.1,88.2,35.6,4.1,510.0,0.295,0.37,0.401,0.771,117.0
"Cespedes, Yoenis",493316,2015,112.9,92.2,44.8,11.1,676.0,0.291,0.328,0.542,0.87,135.0
"Chirinos, Robinson",455139,2015,109.7,87.0,33.7,7.9,273.0,0.232,0.325,0.438,0.762,106.0
"Chisenhall, Lonnie",502082,2015,108.9,85.7,30.5,3.3,362.0,0.246,0.294,0.372,0.667,78.0
"Choo, Shin-Soo",425783,2015,111.5,90.9,44.1,8.4,653.0,0.276,0.375,0.463,0.838,128.0
"Ciriaco, Pedro",465674,2015,108.8,82.3,14.7,2.8,,,,,,
"Coghlan, Chris",458085,2015,107.5,88.5,33.3,5.5,503.0,0.25,0.341,0.443,0.784,113.0
"Colabello, Chris",499624,2015,111.6,90.0,43.9,9.2,360.0,0.321,0.367,0.52,0.886,143.0
"Collins, Tyler",607385,2015,109.0,87.8,31.3,5.3,207.0,0.266,0.316,0.417,0.732,99.0
"Conforto, Michael",624424,2015,115.0,92.3,47.4,9.5,,,,,,
"Conger, Hank",474233,2015,107.8,88.9,34.8,7.1,229.0,0.229,0.311,0.448,0.759,111.0
"Correa, Carlos",621043,2015,115.1,90.0,40.6,8.9,432.0,0.279,0.345,0.512,0.857,136.0
"Cozart, Zack",446359,2015,102.8,85.9,22.5,3.0,214.0,0.258,0.31,0.459,0.769,106.0
"Crawford, Brandon",543063,2015,110.6,90.3,42.9,8.7,561.0,0.256,0.321,0.462,0.782,113.0
"Crawford, Carl",408307,2015,108.4,89.8,41.4,7.1,,,,,,
"Crisp, Coco",424825,2015,103.8,83.8,20.8,1.0,,,,,,
"Cron, C.J.",543068,2015,113.9,88.3,35.8,8.7,404.0,0.262,0.3,0.439,0.739,104.0
"Cruz, Nelson",443558,2015,119.0,92.6,47.8,14.1,655.0,0.302,0.369,0.566,0.936,158.0
