Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Headley, Chase",452104,2017,107.9,87.2,33.2,4.6,586.0,0.273,0.352,0.406,0.758,105.0
"Healy, Ryon",592387,2017,112.7,88.3,40.4,7.6,605.0,0.271,0.302,0.451,0.754,101.0
"Hechavarría, Adeiny",588751,2017,108.7,87.8,34.6,3.0,348.0,0.261,0.289,0.406,0.695,84.0
"Hedges, Austin",595978,2017,108.9,87.8,34.3,6.7,417.0,0.214,0.262,0.398,0.66,69.0
"Heredia, Guillermo",628338,2017,107.8,84.6,22.8,1.5,426.0,0.249,0.315,0.337,0.652,80.0
"Hernández, César",514917,2017,107.8,85.7,29.7,2.9,577.0,0.294,0.373,0.421,0.793,111.0
"Hernández, Enrique",571771,2017,111.5,88.5,36.5,7.2,342.0,0.215,0.308,0.421,0.729,92.0
"Hernández, Gorkys",491676,2017,108.9,85.2,26.1,1.7,348.0,0.255,0.327,0.326,0.652,77.0
"Herrera, Odúbel",546318,2017,114.6,87.2,32.3,6.2,563.0,0.281,0.325,0.452,0.778,100.0
"Herrmann, Chris",543302,2017,111.9,89.1,37.3,7.5,256.0,0.181,0.273,0.345,0.619,58.0
"Heyward, Jason",518792,2017,112.7,86.6,31.3,4.1,481.0,0.259,0.326,0.389,0.715,89.0
"Hicks, Aaron",543305,2017,109.3,86.7,32.5,7.5,361.0,0.266,0.372,0.475,0.847,128.0
"Hicks, John",543308,2017,110.7,85.7,32.5,8.9,,,,,,
"Holliday, Matt",407812,2017,116.0,89.9,44.3,10.2,427.0,0.231,0.316,0.432,0.748,99.0
"Holt, Brock",571788,2017,101.0,83.7,15.0,0.0,,,,,,
"Hoskins, Rhys",656555,2017,110.2,90.9,45.2,13.5,212.0,0.259,0.396,0.618,1.014,158.0
"Hosmer, Eric",543333,2017,118.0,89.8,39.4,7.0,671.0,0.318,0.385,0.498,0.882,135.0
"Hundley, Nick",460026,2017,109.8,88.6,41.0,8.1,303.0,0.244,0.272,0.418,0.691,78.0
"Iannetta, Chris",455104,2017,111.4,87.9,36.6,9.1,316.0,0.254,0.354,0.511,0.865,120.0
"Iglesias, Jose",578428,2017,105.2,82.9,21.1,1.2,489.0,0.255,0.288,0.369,0.657,72.0
"Inciarte, Ender",542255,2017,102.7,82.8,13.1,0.5,718.0,0.304,0.35,0.409,0.759,97.0
"Jackson, Austin",457706,2017,108.2,88.9,34.2,5.0,318.0,0.318,0.387,0.482,0.869,129.0
"Jaso, John",444379,2017,105.8,85.8,30.4,7.9,302.0,0.211,0.328,0.402,0.73,94.0
"Jay, Jon",445055,2017,104.4,85.7,22.7,0.7,433.0,0.296,0.374,0.375,0.749,101.0
"Jones, Adam",430945,2017,110.9,86.9,31.1,6.4,635.0,0.285,0.322,0.466,0.787,106.0
"Joseph, Caleb",543376,2017,106.1,84.4,30.9,6.0,266.0,0.256,0.287,0.413,0.7,82.0
"Joseph, Tommy",571830,2017,112.8,89.3,40.3,7.3,533.0,0.24,0.289,0.432,0.721,84.0
"Joyce, Matt",459964,2017,109.7,88.2,34.4,8.8,544.0,0.243,0.335,0.473,0.808,117.0
"Judge, Aaron",592450,2017,121.1,95.0,54.7,25.7,678.0,0.284,0.422,0.627,1.049,174.0
"Kemp, Matt",461314,2017,111.9,88.3,38.8,9.4,467.0,0.276,0.318,0.463,0.781,97.0
"Kendrick, Howie",435062,2017,113.3,87.5,34.0,7.9,334.0,0.315,0.368,0.475,0.844,120.0
"Kepler, Max",596146,2017,113.2,88.7,36.7,4.0,568.0,0.243,0.312,0.425,0.737,94.0
"Kiermaier, Kevin",595281,2017,110.9,86.9,30.5,5.2,421.0,0.276,0.338,0.45,0.788,113.0
"Kim, Hyun Soo",547957,2017,109.2,88.7,36.3,3.6,239.0,0.231,0.307,0.292,0.599,61.0
"Kinsler, Ian",435079,2017,105.9,86.3,30.1,4.9,613.0,0.236,0.313,0.412,0.725,92.0
"Kipnis, Jason",543401,2017,107.8,86.2,31.6,4.8,373.0,0.232,0.291,0.414,0.705,80.0
"Kivlehan, Patrick",623182,2017,113.0,86.6,32.2,7.6,204.0,0.208,0.304,0.399,0.703,81.0
"Knapp, Andrew",595284,2017,107.0,88.9,40.2,2.6,204.0,0.257,0.368,0.368,0.736,94.0
"La Stella, Tommy",600303,2017,103.4,87.5,29.4,2.8,,,,,,
"Lagares, Juan",501571,2017,109.9,86.0,32.7,2.0,272.0,0.25,0.296,0.365,0.661,78.0
"Lamb, Jake",571875,2017,109.4,88.3,36.3,9.3,635.0,0.248,0.357,0.487,0.844,111.0
"LeMahieu, DJ",518934,2017,109.2,89.3,41.4,1.9,682.0,0.31,0.374,0.409,0.783,94.0
"León, Sandy",506702,2017,108.3,83.7,24.9,2.5,301.0,0.225,0.29,0.354,0.644,66.0
"Lind, Adam",452252,2017,118.3,90.7,45.0,8.4,301.0,0.303,0.362,0.513,0.875,120.0
"Lindor, Francisco",596019,2017,111.7,89.1,35.9,7.1,723.0,0.273,0.337,0.505,0.842,116.0
"Lobatón, Jose",446653,2017,108.2,85.0,31.5,5.6,,,,,,
"Longoria, Evan",446334,2017,109.9,86.7,32.4,5.2,677.0,0.261,0.313,0.424,0.737,97.0
"Lowrie, Jed",476704,2017,106.3,89.1,37.7,6.0,645.0,0.277,0.36,0.448,0.808,120.0
"Lucroy, Jonathan",518960,2017,106.7,85.0,24.3,2.4,481.0,0.265,0.345,0.371,0.716,80.0
"Machado, Dixon",553988,2017,103.6,84.7,27.5,2.2,,,,,,
"Machado, Manny",592518,2017,116.3,91.3,47.5,10.5,690.0,0.259,0.31,0.471,0.782,102.0
"Mahtook, Mikie",543484,2017,111.9,88.4,38.0,5.5,379.0,0.276,0.33,0.457,0.787,107.0
"Maldonado, Martín",455117,2017,110.4,85.4,31.3,5.6,471.0,0.221,0.276,0.368,0.645,72.0
"Mancini, Trey",641820,2017,115.5,88.6,41.2,10.0,586.0,0.293,0.338,0.488,0.826,116.0
"Margot, Manuel",622534,2017,109.7,85.3,29.3,2.6,529.0,0.263,0.313,0.409,0.721,90.0
"Marisnick, Jake",545350,2017,111.2,88.2,35.0,11.9,259.0,0.243,0.319,0.496,0.815,117.0
"Markakis, Nick",455976,2017,114.4,88.3,34.7,3.3,670.0,0.275,0.354,0.384,0.738,93.0
"Marrero, Deven",571918,2017,109.4,86.9,26.5,2.6,,,,,,
"Marte, Ketel",606466,2017,112.8,87.5,34.6,2.7,255.0,0.26,0.345,0.395,0.74,89.0
"Marte, Starling",516782,2017,109.9,83.2,29.2,5.6,339.0,0.275,0.333,0.379,0.712,91.0
"Martin, Russell",431145,2017,108.9,88.3,37.9,7.1,365.0,0.221,0.343,0.388,0.731,101.0
"Martinez, J.D.",502110,2017,114.8,91.0,49.3,19.5,489.0,0.303,0.376,0.69,1.066,167.0
"Martinez, Victor",400121,2017,107.1,88.7,34.5,5.4,435.0,0.255,0.324,0.372,0.697,85.0
"Martínez, José A.",500874,2017,111.5,90.9,45.3,10.7,307.0,0.309,0.379,0.518,0.897,136.0
"Mathis, Jeff",425772,2017,109.5,87.0,23.8,1.6,203.0,0.215,0.277,0.323,0.6,51.0
"Mauer, Joe",408045,2017,108.2,90.6,46.3,4.5,597.0,0.305,0.384,0.417,0.801,117.0
"Maxwell, Bruce",622194,2017,109.5,88.6,39.9,2.5,253.0,0.237,0.329,0.333,0.663,85.0
"Maybin, Cameron",457727,2017,109.2,87.2,32.7,3.3,450.0,0.228,0.318,0.365,0.683,87.0
"Mazara, Nomar",608577,2017,113.6,89.0,37.1,6.5,616.0,0.253,0.323,0.422,0.745,87.0
"McCann, Brian",435263,2017,106.4,87.6,33.8,5.4,399.0,0.241,0.323,0.436,0.759,103.0
"McCann, James",543510,2017,109.2,87.2,34.1,7.9,391.0,0.253,0.318,0.415,0.733,94.0
"McCutchen, Andrew",457705,2017,109.5,88.4,38.9,7.7,650.0,0.279,0.363,0.486,0.849,122.0
"Mercer, Jordy",474568,2017,106.3,85.8,32.4,3.1,558.0,0.255,0.326,0.406,0.733,88.0
"Merrifield, Whit",593160,2017,110.5,87.6,29.6,5.1,630.0,0.288,0.324,0.46,0.784,105.0
"Mesoraco, Devin",519023,2017,107.2,83.4,26.9,5.8,,,,,,
"Miller, Brad",543543,2017,112.7,89.3,38.4,6.0,407.0,0.201,0.327,0.337,0.664,84.0
"Molina, Yadier",425877,2017,106.2,87.9,35.0,5.9,543.0,0.273,0.312,0.439,0.751,95.0
"Moncada, Yoán",660162,2017,110.4,88.5,35.2,9.6,231.0,0.231,0.338,0.412,0.75,105.0
"Montero, Miguel",471083,2017,104.6,85.2,25.2,5.0,213.0,0.216,0.31,0.346,0.656,75.0
"Moore, Tyler",489138,2017,105.9,88.0,33.1,8.1,203.0,0.23,0.267,0.401,0.668,74.0
"Morales, Kendrys",434778,2017,113.0,91.1,46.6,10.0,608.0,0.25,0.308,0.445,0.753,98.0
"Moreland, Mitch",519048,2017,113.3,89.3,36.4,12.0,576.0,0.246,0.326,0.443,0.769,98.0
"Morrison, Logan",489149,2017,114.4,88.6,42.3,12.8,601.0,0.246,0.353,0.516,0.868,131.0
"Moss, Brandon",461235,2017,112.8,89.6,41.9,14.8,401.0,0.207,0.279,0.428,0.707,83.0
"Motter, Taylor",600301,2017,110.9,87.3,32.7,4.1,280.0,0.198,0.257,0.326,0.583,57.0
"Moustakas, Mike",519058,2017,112.9,87.4,33.8,8.6,598.0,0.272,0.314,0.521,0.835,113.0
"Murphy, Daniel",502517,2017,108.4,89.6,41.8,4.8,593.0,0.322,0.384,0.543,0.928,135.0
"Myers, Wil",571976,2017,112.5,89.4,44.6,9.1,649.0,0.243,0.328,0.464,0.792,107.0
"Napoli, Mike",435063,2017,112.5,88.3,41.5,15.8,485.0,0.193,0.285,0.428,0.713,77.0
"Narváez, Omar",553882,2017,103.4,83.6,18.6,0.0,295.0,0.277,0.373,0.34,0.713,101.0
"Nava, Daniel",537953,2017,104.2,87.3,30.6,4.8,214.0,0.301,0.393,0.421,0.813,118.0
"Nimmo, Brandon",607043,2017,109.9,89.2,37.5,6.7,215.0,0.26,0.379,0.418,0.797,118.0
"Norris, Derek",519083,2017,106.9,87.7,34.1,5.2,,,,,,
"Núñez, Eduardo",456488,2017,111.5,86.4,32.4,1.7,491.0,0.313,0.341,0.46,0.801,112.0
"Odor, Rougned",596059,2017,112.4,89.1,36.6,6.0,651.0,0.204,0.252,0.397,0.649,56.0
"Olson, Matt",621566,2017,111.0,92.6,48.8,16.3,216.0,0.259,0.352,0.651,1.003,164.0
"Osuna, José",591741,2017,108.7,87.2,31.8,4.5,227.0,0.233,0.269,0.428,0.697,78.0
"Owings, Chris",572008,2017,108.4,86.6,27.6,3.6,386.0,0.268,0.299,0.442,0.741,85.0
"Ozuna, Marcell",542303,2017,114.5,90.9,45.6,9.3,679.0,0.312,0.376,0.548,0.924,143.0
"Panik, Joe",605412,2017,108.0,85.0,23.9,2.6,573.0,0.288,0.347,0.421,0.768,104.0
"Parker, Jarrett",592620,2017,110.2,86.7,30.4,10.7,,,,,,
"Parra, Gerardo",467827,2017,106.1,86.0,29.7,2.1,425.0,0.309,0.341,0.452,0.793,91.0
"Pearce, Steve",456665,2017,108.6,87.2,35.9,6.9,348.0,0.252,0.319,0.438,0.757,100.0
"Pederson, Joc",592626,2017,114.1,90.1,41.7,8.7,323.0,0.212,0.331,0.407,0.738,100.0
"Pedroia, Dustin",456030,2017,101.9,85.2,21.1,1.1,463.0,0.293,0.369,0.392,0.76,101.0
"Pence, Hunter",452254,2017,114.0,89.0,37.6,5.8,539.0,0.26,0.315,0.385,0.701,87.0
"Pennington, Cliff",460060,2017,104.1,86.3,24.6,1.4,217.0,0.253,0.306,0.33,0.635,72.0
"Peralta, David",444482,2017,113.8,88.0,35.4,4.1,577.0,0.293,0.352,0.444,0.796,104.0
"Peraza, José",606299,2017,106.9,82.8,20.0,1.7,518.0,0.259,0.297,0.324,0.622,61.0
"Perez, Salvador",521692,2017,111.3,88.7,38.9,9.4,499.0,0.268,0.297,0.495,0.792,102.0
"Peterson, Jace",607054,2017,107.7,86.8,33.8,5.0,215.0,0.215,0.318,0.317,0.635,66.0
"Pham, Tommy",502054,2017,111.6,89.6,43.7,9.3,530.0,0.306,0.411,0.52,0.931,149.0
"Phegley, Josh",572033,2017,106.9,85.2,29.8,5.6,,,,,,
"Phillips, Brandon",408252,2017,108.4,84.6,25.1,2.4,604.0,0.285,0.319,0.416,0.735,91.0
"Pillar, Kevin",607680,2017,111.9,86.0,29.1,3.4,632.0,0.256,0.3,0.404,0.704,86.0
"Pinder, Chad",640461,2017,111.0,89.4,43.0,11.4,309.0,0.238,0.292,0.457,0.75,99.0
"Pirela, José",517369,2017,112.9,89.3,39.1,4.5,344.0,0.288,0.347,0.49,0.837,120.0
"Piscotty, Stephen",572039,2017,109.3,86.1,34.9,6.6,401.0,0.235,0.342,0.367,0.708,93.0
"Piña, Manny",444489,2017,108.2,87.1,29.8,3.9,359.0,0.279,0.327,0.424,0.751,95.0
"Plouffe, Trevor",461858,2017,109.2,87.9,38.5,4.1,313.0,0.198,0.272,0.318,0.59,59.0
"Polanco, Gregory",570256,2017,112.1,86.5,30.6,3.8,411.0,0.251,0.305,0.391,0.695,81.0
"Polanco, Jorge",593871,2017,107.0,85.0,25.8,2.6,544.0,0.256,0.313,0.41,0.723,90.0
"Pollock, AJ",572041,2017,108.7,88.1,38.4,5.6,466.0,0.266,0.33,0.471,0.801,103.0
"Posey, Buster",457763,2017,109.6,88.7,34.8,3.5,568.0,0.32,0.4,0.462,0.861,128.0
"Prado, Martín",445988,2017,107.3,86.7,32.8,1.7,,,,,,
"Presley, Alex",502100,2017,105.2,85.5,23.7,1.0,264.0,0.314,0.354,0.416,0.77,106.0
"Puig, Yasiel",624577,2017,116.0,88.5,37.6,9.4,570.0,0.263,0.346,0.487,0.833,117.0
"Pujols, Albert",405395,2017,112.2,88.7,39.2,5.4,636.0,0.241,0.286,0.386,0.672,77.0
"Pérez, Hernán",541650,2017,108.5,84.9,27.6,3.1,458.0,0.259,0.289,0.414,0.704,79.0
"Pérez, Roberto",547379,2017,113.4,86.2,39.1,6.6,248.0,0.207,0.291,0.373,0.664,73.0
"Ramirez, Hanley",434670,2017,114.3,88.5,38.4,9.5,553.0,0.242,0.32,0.429,0.75,92.0
"Ramos, Wilson",467092,2017,108.7,86.0,36.6,8.6,224.0,0.26,0.29,0.447,0.737,93.0
"Ramírez, José",608070,2017,108.3,88.2,34.7,5.0,645.0,0.318,0.374,0.583,0.957,146.0
"Realmuto, J.T.",592663,2017,111.4,88.2,35.5,6.3,579.0,0.278,0.332,0.451,0.783,107.0
"Reddick, Josh",502210,2017,110.2,87.7,31.6,3.8,540.0,0.314,0.363,0.484,0.847,127.0
"Rendon, Anthony",543685,2017,110.1,89.8,38.4,6.5,605.0,0.301,0.403,0.533,0.937,141.0
"Renfroe, Hunter",592669,2017,113.7,88.0,34.1,11.1,479.0,0.231,0.284,0.467,0.751,94.0
"Revere, Ben",519184,2017,101.9,82.7,13.1,0.4,308.0,0.275,0.308,0.344,0.652,76.0
"Reyes, José",408314,2017,108.4,84.3,24.2,2.6,561.0,0.246,0.315,0.413,0.728,95.0
"Reynolds, Mark",448602,2017,112.1,87.2,35.9,8.3,593.0,0.267,0.352,0.487,0.839,105.0
"Rickard, Joey",572073,2017,104.8,83.3,20.9,1.5,277.0,0.241,0.276,0.345,0.621,62.0
"Riddle, JT",595375,2017,107.5,85.7,28.6,3.2,247.0,0.25,0.282,0.355,0.637,66.0
"Rivera, René",425784,2017,108.8,87.3,36.0,10.7,237.0,0.252,0.305,0.431,0.736,92.0
"Rivera, T.J.",608061,2017,105.5,84.4,24.9,2.2,231.0,0.29,0.33,0.43,0.76,104.0
"Rizzo, Anthony",519203,2017,113.6,88.4,39.1,9.3,691.0,0.273,0.392,0.507,0.899,134.0
"Robertson, Daniel",621002,2017,108.2,85.8,30.4,3.4,254.0,0.206,0.308,0.326,0.634,77.0
"Rojas, Miguel",500743,2017,106.4,83.8,22.7,0.0,306.0,0.29,0.361,0.375,0.736,98.0
"Romine, Andrew",461865,2017,105.4,83.7,26.7,1.6,348.0,0.233,0.289,0.336,0.625,66.0
"Romine, Austin",519222,2017,107.1,86.6,36.2,1.7,252.0,0.218,0.272,0.293,0.565,50.0
"Rosales, Adam",489267,2017,106.7,87.7,33.2,3.0,312.0,0.225,0.26,0.353,0.613,58.0
"Rosario, Amed",642708,2017,105.5,84.3,25.0,2.6,,,,,,
"Rosario, Eddie",592696,2017,107.5,87.2,31.8,7.4,589.0,0.29,0.328,0.507,0.836,117.0
"Ruiz, Rio",547004,2017,105.9,88.0,35.7,6.3,,,,,,
"Rupp, Cameron",519237,2017,111.2,88.6,41.2,9.9,331.0,0.217,0.299,0.417,0.716,84.0
"Russell, Addison",608365,2017,110.0,88.0,35.2,5.7,385.0,0.239,0.304,0.418,0.722,85.0
"Saladino, Tyler",573135,2017,106.5,84.9,25.0,0.5,281.0,0.178,0.254,0.229,0.484,34.0
"Sandoval, Pablo",467055,2017,109.9,89.4,37.5,6.7,279.0,0.22,0.265,0.367,0.632,64.0
"Santana, Carlos",467793,2017,112.3,88.6,38.6,7.5,667.0,0.259,0.363,0.455,0.818,115.0
"Santana, Danny",542454,2017,110.3,87.5,32.3,4.7,,,,,,
"Santana, Domingo",570267,2017,113.7,89.2,40.4,9.4,607.0,0.278,0.371,0.505,0.875,127.0
"Sanó, Miguel",593934,2017,114.6,92.3,47.0,15.9,483.0,0.264,0.352,0.507,0.859,125.0
"Saunders, Michael",459431,2017,108.3,85.9,32.1,6.7,234.0,0.202,0.256,0.344,0.6,52.0
"Schebler, Scott",594988,2017,111.2,89.1,40.8,10.2,531.0,0.233,0.307,0.484,0.791,98.0
"Schoop, Jonathan",570731,2017,116.0,87.8,37.2,7.0,675.0,0.293,0.338,0.503,0.841,120.0
"Schwarber, Kyle",656941,2017,116.1,89.6,41.5,15.1,486.0,0.211,0.315,0.467,0.782,103.0
"Seager, Corey",608369,2017,110.9,89.7,44.3,8.5,613.0,0.295,0.375,0.479,0.854,127.0
"Seager, Kyle",572122,2017,109.1,88.3,33.9,8.6,650.0,0.249,0.323,0.45,0.773,106.0
"Segura, Jean",516416,2017,109.1,87.6,34.5,3.2,566.0,0.3,0.349,0.427,0.776,111.0
"Semien, Marcus",543760,2017,106.5,87.1,30.0,4.6,386.0,0.249,0.325,0.398,0.722,97.0
"Shaw, Travis",543768,2017,113.7,88.6,39.4,7.4,606.0,0.273,0.349,0.513,0.862,120.0
"Simmons, Andrelton",592743,2017,109.7,86.1,28.7,2.5,647.0,0.278,0.331,0.421,0.752,102.0
"Smith, Dominic",642086,2017,107.5,89.7,42.0,8.4,,,,,,
"Smith, Kevan",607345,2017,108.9,85.7,28.9,3.4,294.0,0.283,0.309,0.388,0.697,86.0
"Smith, Mallex",605480,2017,105.0,81.2,16.8,1.5,282.0,0.27,0.329,0.355,0.684,88.0
"Smith, Seth",452234,2017,112.4,89.8,40.9,7.1,373.0,0.258,0.34,0.433,0.774,105.0
"Smoak, Justin",475253,2017,110.0,89.6,43.0,13.6,637.0,0.27,0.355,0.529,0.883,133.0
"Sogard, Eric",519299,2017,105.1,84.7,22.6,1.4,299.0,0.273,0.393,0.378,0.77,109.0
"Solarte, Yangervis",500208,2017,110.2,85.4,27.6,3.9,512.0,0.255,0.314,0.416,0.731,91.0
"Souza Jr., Steven",519306,2017,116.2,88.8,38.6,11.5,617.0,0.239,0.351,0.459,0.81,121.0
"Span, Denard",452655,2017,108.5,85.3,25.1,3.3,542.0,0.272,0.329,0.427,0.756,102.0
"Spangenberg, Cory",605486,2017,108.8,87.1,29.0,4.4,486.0,0.264,0.322,0.401,0.723,92.0
"Springer, George",543807,2017,114.6,89.2,43.2,9.3,629.0,0.283,0.367,0.522,0.889,140.0
"Stanton, Giancarlo",519317,2017,122.2,92.0,45.6,17.4,692.0,0.281,0.376,0.631,1.007,158.0
"Stewart, Chris",455755,2017,101.7,84.5,16.7,0.0,,,,,,
"Story, Trevor",596115,2017,110.1,89.4,38.3,10.5,555.0,0.239,0.308,0.457,0.765,82.0
"Strange-Gordon, Dee",543829,2017,104.1,81.6,11.2,0.2,695.0,0.308,0.341,0.375,0.716,94.0
"Sucre, Jesús",491696,2017,107.3,86.5,32.0,4.1,,,,,,
"Suzuki, Ichiro",400085,2017,104.2,80.1,11.8,0.6,215.0,0.255,0.318,0.332,0.649,77.0
"Suzuki, Kurt",435559,2017,107.3,87.2,34.5,7.1,309.0,0.283,0.351,0.536,0.887,126.0
"Suárez, Eugenio",553993,2017,108.8,86.2,32.1,6.9,632.0,0.26,0.367,0.461,0.828,116.0
"Swanson, Dansby",621020,2017,107.6,86.9,32.5,3.0,551.0,0.232,0.312,0.324,0.636,63.0
"Szczur, Matt",519333,2017,106.2,83.8,19.6,1.3,237.0,0.226,0.35,0.354,0.704,94.0
"Sánchez, Gary",596142,2017,115.7,90.8,42.9,11.8,525.0,0.278,0.345,0.531,0.876,131.0
"Sánchez, Yolmer",570560,2017,106.5,84.8,24.6,3.4,534.0,0.267,0.319,0.413,0.732,95.0
"Tapia, Raimel",606132,2017,103.6,81.0,12.9,1.6,,,,,,
"Taylor, Chris",621035,2017,110.1,87.1,34.1,8.0,568.0,0.288,0.354,0.496,0.85,126.0
"Taylor, Michael A.",572191,2017,112.7,87.5,38.3,9.8,432.0,0.271,0.32,0.486,0.806,104.0
"Thames, Eric",519346,2017,112.0,88.2,39.3,11.1,551.0,0.247,0.359,0.518,0.877,125.0
"Tomlinson, Kelby",605509,2017,104.5,83.3,15.7,0.7,222.0,0.258,0.332,0.314,0.646,76.0
"Tomás, Yasmany",630111,2017,111.3,91.4,49.1,11.1,,,,,,
"Torreyes, Ronald",591720,2017,100.0,81.5,13.2,0.7,336.0,0.292,0.314,0.375,0.689,83.0
"Travis, Devon",581527,2017,110.9,87.6,34.0,6.7,,,,,,
"Trout, Mike",545361,2017,114.7,88.8,39.9,13.3,507.0,0.306,0.442,0.629,1.071,180.0
"Trumbo, Mark",444432,2017,118.5,89.8,38.5,7.1,603.0,0.234,0.289,0.397,0.686,79.0
"Tulowitzki, Troy",453064,2017,109.4,86.4,33.7,5.0,260.0,0.249,0.3,0.378,0.678,79.0
"Turner, Justin",457759,2017,107.8,89.4,38.6,8.6,543.0,0.322,0.415,0.53,0.945,151.0
"Turner, Trea",607208,2017,111.9,89.1,39.2,5.4,447.0,0.284,0.338,0.451,0.789,104.0
"Upton, Justin",457708,2017,114.2,88.8,41.3,13.2,635.0,0.273,0.361,0.54,0.901,137.0
"Urshela, Gio",570482,2017,110.6,87.4,27.4,1.5,,,,,,
"Utley, Chase",400284,2017,107.7,86.9,28.5,4.3,353.0,0.236,0.324,0.405,0.728,96.0
"Valaika, Pat",642162,2017,108.6,85.4,29.6,6.7,,,,,,
"Valbuena, Luis",472528,2017,108.4,87.5,33.3,11.0,401.0,0.199,0.294,0.432,0.727,93.0
"Valencia, Danny",502143,2017,114.0,88.2,37.5,5.7,500.0,0.256,0.314,0.411,0.725,96.0
"Vargas, Kennys",573627,2017,116.2,86.3,30.9,9.1,264.0,0.253,0.314,0.444,0.758,99.0
"Villar, Jonathan",542340,2017,114.7,88.3,34.2,5.5,436.0,0.241,0.293,0.372,0.665,72.0
"Vogt, Stephen",519390,2017,106.6,85.4,30.1,6.6,303.0,0.233,0.285,0.423,0.708,84.0
"Votto, Joey",458015,2017,110.9,87.5,32.8,9.1,707.0,0.32,0.454,0.578,1.032,163.0
"Vázquez, Christian",543877,2017,105.7,85.2,22.2,2.7,345.0,0.29,0.33,0.404,0.735,92.0
"Walker, Neil",435522,2017,109.8,85.9,31.3,4.8,448.0,0.265,0.362,0.439,0.801,115.0
"Werth, Jayson",150029,2017,112.1,88.1,40.7,8.2,289.0,0.226,0.322,0.393,0.715,86.0
"Wieters, Matt",446308,2017,106.0,85.7,29.3,3.9,465.0,0.225,0.288,0.344,0.632,61.0
"Williams, Nick",608384,2017,109.2,88.1,41.4,7.7,343.0,0.288,0.338,0.473,0.811,110.0
"Wolters, Tony",547172,2017,106.2,83.8,18.8,0.6,266.0,0.24,0.341,0.284,0.625,50.0
"Wong, Kolten",543939,2017,109.7,86.4,28.9,3.0,411.0,0.285,0.376,0.412,0.788,108.0
"Yelich, Christian",592885,2017,112.4,90.6,45.8,7.0,695.0,0.282,0.369,0.439,0.807,117.0
"Young, Chris",455759,2017,110.7,85.1,30.9,4.2,276.0,0.235,0.322,0.387,0.709,87.0
"Zimmer, Bradley",605548,2017,114.6,89.1,39.9,8.9,332.0,0.241,0.307,0.385,0.692,79.0
"Zimmerman, Ryan",475582,2017,113.1,91.4,49.1,12.2,576.0,0.303,0.358,0.573,0.93,137.0
"Zobrist, Ben",450314,2017,106.9,87.2,32.2,4.6,496.0,0.232,0.318,0.375,0.693,83.0
"Zunino, Mike",572287,2017,114.1,90.3,46.9,14.5,435.0,0.251,0.331,0.509,0.84,126.0
"d'Arnaud, Travis",518595,2017,111.6,88.0,35.7,6.5,376.0,0.244,0.293,0.443,0.735,92.0
"Abreu, José",547989,2018,115.5,91.3,45.2,9.1,553.0,0.265,0.325,0.473,0.798,114.0
"Acuña Jr., Ronald",660670,2018,113.9,90.9,46.6,13.4,487.0,0.293,0.366,0.552,0.917,142.0
"Adames, Willy",642715,2018,110.6,86.7,29.6,6.6,323.0,0.278,0.348,0.406,0.754,110.0
"Adams, Matt",571431,2018,109.3,88.7,39.9,10.3,337.0,0.239,0.309,0.477,0.786,108.0
"Adduci, James",451192,2018,111.8,85.9,26.1,3.7,,,,,,
"Adrianza, Ehire",501303,2018,107.1,86.6,30.6,5.0,366.0,0.251,0.301,0.379,0.68,83.0
"Aguilar, Jesús",542583,2018,110.0,89.8,42.9,11.4,566.0,0.274,0.352,0.539,0.89,135.0
"Ahmed, Nick",605113,2018,106.2,86.9,30.0,5.1,564.0,0.234,0.29,0.411,0.7,85.0
"Albies, Ozzie",645277,2018,109.9,86.8,29.4,4.7,684.0,0.261,0.305,0.452,0.757,100.0
"Alfaro, Jorge",595751,2018,116.6,91.7,44.2,10.6,377.0,0.262,0.324,0.407,0.731,95.0
"Allen, Greg",656185,2018,105.7,86.7,30.2,1.4,291.0,0.257,0.31,0.343,0.654,76.0
"Almonte, Abraham",501659,2018,110.9,89.8,37.0,8.0,,,,,,
"Almora Jr., Albert",546991,2018,110.0,86.6,27.4,1.4,479.0,0.286,0.323,0.378,0.701,90.0
"Alonso, Yonder",475174,2018,112.3,87.8,37.5,9.8,574.0,0.25,0.317,0.421,0.738,98.0
"Altherr, Aaron",571437,2018,114.6,90.4,45.8,9.7,285.0,0.181,0.295,0.333,0.628,74.0
"Altuve, Jose",514888,2018,112.3,87.2,33.8,5.9,599.0,0.316,0.386,0.451,0.837,135.0
"Anderson, Brian",605119,2018,113.3,90.2,42.4,5.8,670.0,0.273,0.357,0.4,0.757,113.0
"Anderson, Tim",641313,2018,112.5,85.8,27.9,4.7,606.0,0.24,0.281,0.406,0.687,85.0
"Andrus, Elvis",462101,2018,109.7,87.2,30.5,4.2,428.0,0.256,0.308,0.367,0.675,76.0
"Andujar, Miguel",609280,2018,110.4,89.2,36.5,6.3,606.0,0.297,0.328,0.527,0.855,129.0
"Arcia, Orlando",606115,2018,107.4,86.3,28.6,2.3,366.0,0.236,0.268,0.307,0.576,55.0
"Arenado, Nolan",571448,2018,109.2,89.8,40.5,7.2,673.0,0.297,0.374,0.561,0.935,133.0
"Asuaje, Carlos",641319,2018,104.0,87.0,25.9,4.1,218.0,0.196,0.286,0.28,0.566,59.0
