player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Peraza, José",606299,570,15.0,37.7,108.7,85.8,95.2,87.3,85.9,426,177,391.0,134,23.6,14,2.5,2.0,2018
"Lindor, Francisco",596019,560,14.7,34.3,114.5,90.6,100.8,94.3,88.3,445,189,400.0,227,41.0,52,9.3,7.0,2018
"Markakis, Nick",455976,552,10.1,38.4,109.3,90.6,99.1,92.2,90.2,429,170,398.0,229,41.6,17,3.1,2.4,2018
"Turner, Trea",607208,534,9.3,28.8,112.3,89.1,99.8,92.5,87.3,427,158,396.0,206,38.6,31,5.8,4.2,2018
"Machado, Manny",592518,533,14.4,33.8,114.8,91.6,102.9,95.1,90.1,444,184,403.0,257,48.2,60,11.3,8.5,2018
"Segura, Jean",516416,527,7.8,29.8,111.6,87.7,97.8,90.3,86.9,420,145,399.0,170,32.3,19,3.6,3.0,2018
"Albies, Ozzie",645277,527,16.1,34.0,109.9,86.8,96.7,91.7,82.8,427,176,389.0,155,29.4,25,4.7,3.7,2018
"Merrifield, Whit",593160,526,16.9,40.7,106.4,87.0,96.7,91.1,83.2,430,183,401.0,163,31.2,24,4.6,3.4,2018
"Inciarte, Ender",542255,519,10.9,32.6,105.0,84.9,93.8,87.9,83.0,433,156,380.0,97,18.7,8,1.5,1.2,2018
"Brantley, Michael",488726,517,9.5,38.1,108.6,90.2,98.9,91.9,89.5,424,169,392.0,194,38.4,18,3.5,2.9,2018
"Simmons, Andrelton",592743,516,7.8,27.9,109.7,88.2,98.3,92.0,87.4,402,149,382.0,186,36.3,21,4.1,3.5,2018
"Bregman, Alex",608324,512,16.8,37.9,107.6,89.4,98.8,93.5,86.3,420,190,384.0,204,39.9,39,7.6,5.5,2018
"Semien, Marcus",543760,510,15.5,34.9,107.1,86.8,97.0,91.3,83.3,428,177,393.0,163,32.1,23,4.5,3.3,2018
"Ramírez, José",608070,504,19.0,34.3,110.2,89.0,98.4,92.4,86.9,434,196,388.0,173,35.1,42,8.3,6.0,2018
"Blackmon, Charlie",453568,495,12.0,34.9,110.4,87.5,98.5,91.2,84.3,447,173,407.0,174,35.2,32,6.5,4.6,2018
"Rizzo, Anthony",519203,495,14.7,36.2,112.6,90.1,100.4,93.2,88.4,453,185,404.0,200,40.6,32,6.5,4.8,2018
"Freeman, Freddie",518692,492,14.5,44.7,109.6,89.1,99.1,93.7,83.0,441,190,402.0,196,39.8,46,9.3,6.5,2018
"Jones, Adam",430945,491,13.2,35.6,108.1,88.3,98.0,91.5,86.9,422,174,396.0,162,33.1,24,4.9,3.9,2018
"Strange-Gordon, Dee",543829,490,5.8,30.2,104.7,83.2,92.2,85.1,82.3,388,130,365.0,61,12.5,1,0.2,0.2,2018
"Benintendi, Andrew",643217,482,12.8,37.3,109.5,88.6,98.0,91.9,85.2,437,182,394.0,162,33.7,31,6.4,4.7,2018
"Gurriel, Yuli",493329,481,11.5,32.6,107.9,89.3,98.3,89.7,91.0,427,165,378.0,176,36.6,9,1.9,1.6,2018
"Andujar, Miguel",609280,480,12.3,34.6,110.4,89.2,99.4,92.7,87.8,428,168,389.0,175,36.5,30,6.3,5.0,2018
"Moustakas, Mike",519058,476,19.9,31.3,112.2,89.5,100.2,92.9,89.4,438,188,398.0,186,39.1,42,8.8,6.6,2018
"Ozuna, Marcell",542303,476,10.8,30.3,117.2,91.5,102.9,94.9,90.1,479,165,415.0,214,45.1,46,9.7,7.3,2018
"Castro, Starlin",516770,475,8.4,32.0,109.3,88.5,99.0,91.9,87.1,427,154,400.0,172,36.2,33,6.9,5.1,2018
"Arenado, Nolan",571448,475,15.3,35.4,109.2,89.8,99.6,94.4,86.1,464,184,408.0,192,40.5,34,7.2,5.1,2018
"Santana, Carlos",467793,475,15.2,30.1,113.5,88.9,100.0,93.2,87.9,445,175,399.0,185,39.1,33,6.9,4.9,2018
"Hosmer, Eric",543333,472,-1.5,26.3,112.2,88.7,100.8,95.1,86.3,439,118,400.0,177,38.2,28,5.9,4.1,2018
"Castellanos, Nick",592206,472,15.2,45.3,110.3,89.6,99.3,93.6,84.9,424,197,384.0,192,40.7,53,11.2,7.8,2018
"Lowrie, Jed",476704,471,17.4,38.0,108.0,89.2,98.1,91.9,86.5,410,197,380.0,178,37.9,25,5.3,3.7,2018
"Gennett, Scooter",571697,467,14.0,37.5,108.5,87.3,97.2,90.9,83.9,420,179,377.0,151,32.3,27,5.8,4.2,2018
"Sánchez, Yolmer",570560,467,9.3,34.9,110.3,86.7,96.3,91.2,84.2,449,157,405.0,132,28.3,14,3.0,2.1,2018
"Anderson, Brian",605119,463,8.7,29.2,113.3,90.2,100.7,93.0,89.6,434,149,398.0,196,42.4,27,5.8,4.0,2018
"Galvis, Freddy",520471,462,13.7,32.3,105.8,88.6,96.5,91.8,85.9,419,176,382.0,131,28.9,18,3.9,2.7,2018
