player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Merrifield, Whit",593160,573,14.1,39.8,107.8,86.9,96.2,91.4,82.2,414,169,384.0,165,28.8,20,3.5,2.8,2021
"Fletcher, David",664058,573,8.2,30.0,107.9,82.3,92.7,83.3,83.8,377,129,369.0,90,15.7,0,0.0,0.0,2021
"Edman, Tommy",669242,552,9.5,31.5,112.9,87.5,98.1,90.5,86.0,436,151,405.0,194,35.1,23,4.2,3.3,2021
"Kiner-Falefa, Isiah",643396,548,5.4,31.6,107.9,85.5,96.3,89.5,83.6,423,134,401.0,158,28.8,10,1.8,1.5,2021
"Altuve, Jose",514888,517,15.6,31.9,109.1,87.7,98.4,92.9,84.1,435,163,386.0,181,35.0,33,6.4,4.9,2021
"Frazier, Adam",624428,512,12.6,38.9,108.7,85.4,94.8,87.1,85.3,411,158,383.0,129,25.2,5,1.0,0.8,2021
"Crawford, J.P.",641487,510,9.8,34.1,110.5,86.3,97.3,88.3,86.4,430,146,383.0,156,30.6,12,2.4,1.7,2021
"Semien, Marcus",543760,509,20.3,35.2,109.5,89.7,99.3,93.9,84.3,439,199,388.0,210,41.3,50,9.8,6.9,2021
"LeMahieu, DJ",518934,508,5.0,33.3,110.6,90.6,100.1,92.9,89.2,412,141,375.0,220,43.5,19,3.7,2.8,2021
"Albies, Ozzie",645277,508,21.1,37.0,111.4,89.6,98.7,92.3,86.3,439,200,401.0,189,37.2,47,9.3,6.9,2021
"Bichette, Bo",666182,507,7.3,33.5,115.5,91.4,102.6,94.6,90.0,468,153,401.0,241,47.5,50,9.9,7.2,2021
"Arenado, Nolan",571448,504,20.0,34.1,110.6,89.0,98.7,92.1,87.4,409,188,387.0,189,37.5,34,6.7,5.2,2021
"Schoop, Jonathan",570731,498,10.8,30.1,117.1,88.1,101.2,91.7,87.9,440,145,395.0,200,40.2,34,6.8,5.0,2021
"Guerrero Jr., Vladimir",665489,496,9.4,33.7,117.4,95.1,106.8,98.5,93.4,465,172,409.0,274,55.2,75,15.1,10.7,2021
"Freeman, Freddie",518692,495,12.0,37.2,113.6,91.4,101.8,95.4,87.4,446,178,407.0,228,46.1,57,11.5,8.2,2021
"Turner, Trea",607208,489,11.4,34.6,112.2,89.6,101.3,92.6,88.1,443,159,406.0,226,46.2,36,7.4,5.6,2021
"Newman, Kevin",621028,485,9.9,31.8,109.4,85.3,95.8,86.8,86.1,400,146,384.0,126,26.0,8,1.6,1.4,2021
"Cronenworth, Jake",630105,483,12.5,35.8,110.8,88.6,98.7,92.2,86.5,445,165,400.0,169,35.0,35,7.2,5.4,2021
"Mullins, Cedric",656775,482,14.8,35.5,109.7,89.4,99.4,92.4,88.7,440,171,397.0,190,39.4,39,8.1,5.8,2021
"Polanco, Jorge",593871,476,19.3,36.1,109.9,89.4,99.6,93.5,83.1,435,188,399.0,178,37.4,48,10.1,7.5,2021
"Gurriel, Yuli",493329,474,13.4,31.0,109.1,89.8,99.9,91.0,91.3,413,161,384.0,199,42.0,16,3.4,2.6,2021
"Machado, Manny",592518,473,14.0,33.8,119.6,93.1,104.9,96.8,91.5,453,177,401.0,247,52.2,63,13.3,9.8,2021
"Goldschmidt, Paul",502671,472,17.1,36.9,112.2,92.6,102.7,96.6,88.7,470,188,415.0,239,50.6,64,13.6,9.4,2021
"France, Ty",664034,471,11.0,35.9,111.1,88.5,99.6,92.5,85.5,442,160,403.0,183,38.9,32,6.8,4.9,2021
"Ramírez, José",608070,470,18.2,33.4,112.6,90.0,100.8,94.7,88.0,429,179,388.0,199,42.4,52,11.1,8.2,2021
"Santana, Carlos",467793,468,12.9,28.0,111.2,89.9,100.5,94.1,88.2,447,155,408.0,196,41.9,32,6.8,4.9,2021
"Olson, Matt",621566,463,16.2,32.4,115.3,91.6,102.9,96.1,88.7,445,178,401.0,226,48.8,59,12.7,8.8,2021
"Haniger, Mitch",571745,459,14.8,33.6,110.0,89.3,100.9,94.2,85.2,438,172,401.0,207,45.1,58,12.6,8.4,2021
"Perez, Salvador",521692,454,15.9,34.1,114.4,93.0,104.1,97.6,88.8,460,189,407.0,255,56.2,74,16.3,11.1,2021
"Verdugo, Alex",657077,453,7.7,34.7,110.8,90.0,100.4,94.6,87.2,446,150,402.0,196,43.3,33,7.3,5.5,2021
"Devers, Rafael",646240,452,13.1,35.2,114.4,92.9,104.1,97.3,90.3,457,175,414.0,234,51.8,68,15.0,10.2,2021
"Straw, Myles",664702,448,11.9,42.0,109.8,87.1,95.7,88.1,86.7,409,165,364.0,117,26.2,6,1.3,0.9,2021
"Seager, Kyle",572122,446,19.5,35.7,111.0,89.0,99.7,94.1,82.4,446,196,402.0,179,40.1,55,12.3,8.2,2021
"Correa, Carlos",621043,445,12.1,33.5,116.4,90.2,101.6,94.0,88.5,442,166,386.0,190,42.7,42,9.4,6.6,2021
"Reynolds, Bryan",668804,444,13.4,39.9,112.7,89.4,100.9,93.8,84.0,454,181,410.0,181,40.8,46,10.4,7.1,2021
"Segura, Jean",516416,441,5.8,30.8,113.1,87.2,99.7,92.5,84.6,433,137,396.0,165,37.4,26,5.9,4.6,2021
"Turner, Justin",457759,441,19.2,36.5,109.8,90.9,99.6,93.3,89.0,425,192,394.0,187,42.4,35,7.9,5.7,2021
"Hernández, César",514917,438,10.7,32.6,110.2,87.4,98.4,90.6,85.3,425,159,395.0,145,33.2,30,6.8,4.7,2021
"Alonso, Pete",624413,438,14.7,34.5,118.4,91.0,103.7,95.5,88.0,453,183,407.0,207,47.3,65,14.8,10.2,2021
