player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Semien, Marcus",543760,547,19.9,32.4,110.1,87.3,97.8,91.3,84.2,430,186,394.0,191,34.9,37,6.8,5.1,2022
"Rosario, Amed",642708,530,5.0,31.1,110.8,88.4,99.7,92.1,86.9,450,138,407.0,203,38.3,24,4.5,3.6,2022
"Ramírez, José",608070,528,20.7,33.7,114.2,87.7,98.9,91.2,86.9,422,179,392.0,195,36.9,35,6.6,5.1,2022
"Turner, Trea",607208,527,10.2,35.3,112.5,88.9,100.2,92.1,86.3,439,163,402.0,219,41.6,40,7.6,5.6,2022
"Guerrero Jr., Vladimir",665489,526,4.3,27.9,118.4,92.8,105.5,98.2,90.3,467,144,407.0,265,50.4,59,11.2,8.4,2022
"Freeman, Freddie",518692,517,13.6,42.9,112.3,91.3,100.8,94.5,87.5,446,185,407.0,247,47.8,51,9.9,7.2,2022
"Verdugo, Alex",657077,513,8.4,37.8,111.0,89.1,99.1,93.1,85.9,447,162,399.0,196,38.2,31,6.0,4.8,2022
"Kwan, Steven",680757,509,11.8,34.6,107.1,85.1,94.2,87.4,83.9,400,155,381.0,106,20.8,7,1.4,1.1,2022
"Arraez, Luis",650333,507,12.9,38.7,107.3,88.9,96.2,90.8,87.5,403,169,381.0,153,30.2,18,3.6,3.0,2022
"Lindor, Francisco",596019,504,13.8,29.2,110.7,89.3,99.7,93.5,86.7,440,163,394.0,208,41.3,42,8.3,5.9,2022
"Bichette, Bo",666182,499,8.5,33.3,112.4,91.9,102.7,95.2,89.9,427,156,388.0,251,50.3,48,9.6,6.9,2022
"Seager, Corey",608369,495,13.6,38.4,111.3,91.1,101.6,94.6,86.7,435,185,404.0,225,45.5,52,10.5,7.8,2022
"Abreu, José",547989,495,8.0,34.5,113.0,92.2,103.0,95.0,90.3,451,159,406.0,256,51.8,47,9.5,6.9,2022
"Arenado, Nolan",571448,489,21.7,35.4,111.4,88.8,99.6,93.0,85.4,428,186,387.0,190,38.9,40,8.2,6.5,2022
"Mullins, Cedric",656775,488,17.4,29.1,109.4,88.8,98.9,91.3,89.5,433,164,389.0,182,37.3,24,4.9,3.6,2022
"Bohm, Alec",664761,486,10.4,37.7,110.8,90.2,100.6,92.4,89.6,431,156,393.0,209,43.0,33,6.8,5.2,2022
"Bregman, Alex",608324,481,19.5,36.2,109.2,88.9,98.4,92.6,85.5,412,186,380.0,182,37.8,35,7.3,5.3,2022
