player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Betts, Mookie",605141,599,12.5,31.7,114.7,89.7,99.7,92.6,89.8,428,175,388.0,239,39.9,31,5.2,4.2,2016
"Altuve, Jose",514888,580,11.4,39.3,109.0,88.3,98.2,92.2,84.7,449,176,397.0,211,36.4,40,6.9,5.6,2016
"Pedroia, Dustin",456030,564,8.6,35.3,104.1,88.6,96.1,91.4,86.7,417,160,376.0,163,28.9,14,2.5,2.0,2016
"Canó, Robinson",429664,560,11.5,32.7,113.4,90.1,101.2,93.4,88.5,427,170,394.0,239,42.8,41,7.3,5.7,2016
"Escobar, Alcides",444876,556,9.4,31.7,105.8,84.0,93.3,86.6,83.0,417,152,399.0,98,17.6,8,1.4,1.2,2016
"Segura, Jean",516416,542,7.9,31.0,110.0,89.0,98.5,92.1,87.1,452,169,399.0,183,33.8,32,5.9,4.6,2016
"Prado, Martín",445988,536,8.6,31.2,105.8,87.9,96.7,88.0,88.8,415,151,396.0,165,30.8,7,1.3,1.1,2016
"Lindor, Francisco",596019,534,7.9,34.6,112.1,88.7,98.3,90.8,87.7,435,162,394.0,179,33.5,22,4.1,3.2,2016
"Bogaerts, Xander",593428,532,11.0,28.0,113.2,89.0,99.2,92.6,88.2,430,157,400.0,174,32.7,28,5.3,3.9,2016
"Cabrera, Melky",466320,530,11.2,33.6,110.6,89.5,98.4,90.2,90.8,428,175,392.0,181,34.2,11,2.1,1.7,2016
"Machado, Manny",592518,525,14.5,34.9,116.8,90.3,102.4,94.8,88.4,453,193,405.0,227,43.2,49,9.3,7.0,2016
"Pujols, Albert",405395,524,11.7,31.5,116.5,91.6,101.5,94.7,90.1,448,183,410.0,231,44.1,48,9.2,7.4,2016
"Arenado, Nolan",571448,523,18.9,32.7,111.2,89.5,99.4,92.8,87.3,462,199,411.0,208,39.8,47,9.0,6.8,2016
"Beltré, Adrian",134181,520,14.5,34.2,109.9,90.1,99.7,93.7,88.2,456,185,400.0,210,40.4,44,8.5,6.9,2016
"Eaton, Adam",594809,514,4.9,31.1,108.6,89.1,98.6,90.7,88.6,451,148,395.0,186,36.2,16,3.1,2.3,2016
"Jones, Adam",430945,513,14.7,31.8,110.5,88.7,99.1,92.6,86.2,453,184,398.0,178,34.7,41,8.0,6.1,2016
"Ramírez, José",608070,508,13.2,35.0,110.7,88.4,97.4,90.3,87.9,430,171,396.0,167,32.9,15,3.0,2.4,2016
"Abreu, José",547989,508,10.3,32.7,113.4,89.7,100.6,92.9,88.3,451,166,408.0,200,39.4,40,7.9,5.8,2016
"Markakis, Nick",455976,507,10.7,37.7,114.3,90.7,99.7,91.8,90.8,419,173,385.0,216,42.6,25,4.9,3.7,2016
"Kinsler, Ian",435079,506,18.3,37.4,105.5,87.1,96.8,90.5,83.4,417,200,381.0,156,30.8,19,3.8,2.8,2016
"Span, Denard",452655,501,6.6,29.5,108.8,86.0,97.0,88.9,84.9,441,145,381.0,149,29.7,14,2.8,2.2,2016
"Longoria, Evan",446334,496,18.1,38.1,110.2,90.8,100.5,94.5,87.5,462,204,409.0,206,41.5,60,12.1,8.8,2016
"Seager, Corey",608369,496,10.3,37.5,112.7,91.1,101.4,94.9,87.8,449,175,399.0,218,44.0,41,8.3,6.0,2016
"Seager, Kyle",572122,491,16.8,36.3,109.2,90.3,100.1,93.4,88.3,429,193,391.0,203,41.3,44,9.0,6.5,2016
"Gregorius, Didi",544369,490,14.6,32.4,108.8,86.1,95.4,88.6,85.5,402,172,373.0,124,25.3,14,2.9,2.3,2016
"Phillips, Brandon",408252,490,10.3,35.1,108.9,86.4,95.9,89.0,85.3,415,163,393.0,125,25.5,13,2.7,2.2,2016
"Santana, Carlos",467793,488,14.4,29.3,111.2,90.8,101.2,93.8,90.1,447,178,405.0,211,43.2,48,9.8,7.0,2016
"LeMahieu, DJ",518934,486,6.1,36.2,111.9,91.8,101.4,93.0,91.6,450,157,418.0,232,47.7,24,4.9,3.8,2016
"Dozier, Brian",572821,484,18.8,31.2,107.7,88.1,98.5,94.3,82.3,454,190,400.0,175,36.2,40,8.3,5.8,2016
"Cabrera, Miguel",408234,484,12.3,40.1,114.3,93.6,104.2,97.2,91.0,462,196,405.0,245,50.6,77,15.9,11.3,2016
"Blackmon, Charlie",453568,483,15.2,39.1,112.7,87.7,98.4,90.6,85.4,455,193,403.0,162,33.5,33,6.8,5.1,2016
